p_id,issues
11326100,0
23557391,21
22170348,134
16288576,11
15790399,1
28179398,5
3526154,43
5723396,0
2764814,0
8671378,0
3353227,21
33497899,8
31966605,206
31727614,5
19212176,12
27115275,6
377990,2
26291,110
18555933,0
12483198,24
10237873,90
7374100,113
19621463,6
11761903,3
13423561,0
25053598,0
6502601,1
17704622,0
8026794,1
505325,93
31262885,0
10402446,0
3888541,215
3524721,10
18518093,0
13545579,10
13665027,6
11154982,0
8092553,0
11432322,1
20185656,275
27683828,7
29984406,5
22051212,13
7272042,0
27638933,0
19317464,0
28012661,11
24603125,0
18887362,11
22111941,1
7978678,0
69885,0
37363427,19
15414404,61
33012366,0
38599558,31
21005607,0
20102483,48
12249509,2
23043493,0
9776780,0
102968,1
29205606,66
19464932,0
9044305,0
8350135,10
9324544,4
4634742,0
22080356,0
5689887,0
18039521,125
2255944,3
7054609,7
32850062,0
33377669,0
34344306,15
34375161,0
34931395,0
42105623,0
44982141,76
3799158,0
3988688,0
7862232,30
27305814,30
129878,198
19996034,1
11814673,0
2839773,0
4099003,1
12489358,0
3561555,0
4450951,1
31331874,0
26900723,1
22290404,4
28902366,4
24142366,253
27304656,4
31886835,1
16280220,0
37329560,0
32436326,1
38822513,4
17374423,0
6218009,4
2382331,0
18959726,0
15269358,2
13146303,0
25113471,0
22065701,0
19186516,2
35096972,0
34213123,8
4624622,0
4724849,24
4074836,0
38651630,0
2444713,2
17250956,0
11696068,1
18019392,0
30113763,11
4524007,16
1062091,0
83973,0
6448695,56
25019048,0
11369792,28
34595128,0
34674680,110
35090548,1
38963740,0
3775961,0
30508811,0
3447528,0
12925435,0
90725,37
10389046,1
13479921,38
17708989,1
1930234,22
27783582,5
13141598,0
22257415,0
29861964,18
1838889,22
17383451,0
32287501,1
33101592,0
7302045,6
6927478,0
36803705,0
9210005,12
3242163,0
22885043,0
25006069,19
3465623,0
4283701,159
27536910,0
11101285,0
26214724,14
466537,46
3575152,55
10251030,0
5047197,45
16029168,0
8384404,9
1041252,1
554496,1
23078284,1
8664330,0
8866206,187
4843598,0
3524341,0
2168707,1
12708667,28
10930744,3
32643428,64
14603259,1
5838710,0
4598839,0
32606170,102
7948508,77
42748580,0
21115881,0
4703160,68
158249,12
10806719,1
20447454,132
22239843,0
8972293,85
32799166,28
10343244,7
6420196,0
255928,33
44136016,98
40451402,17
9997393,2
18550558,2
14024979,0
25449323,0
26186871,16
2493300,1
24135534,120
16667718,23
2467343,0
34486293,0
36259746,13
35192708,0
35442544,51
3238676,0
6412214,0
17477238,54
9921982,9
7922429,0
82233,0
5991760,0
4262850,50
28753647,0
19430791,0
14091,38
11577595,0
37501019,0
35097332,0
32403920,0
33048987,10
10576511,0
41551600,5
9383545,0
15483243,8
27875321,0
27555510,36
5482842,28
29721971,0
7080051,0
5750231,0
15781878,0
29217523,0
4040388,46
12093373,3
19928527,0
31545501,0
8174425,0
16844280,19
9809439,0
2433704,0
2846742,305
22149874,92
18621299,92
23648378,11
10579585,0
15729507,32
16004961,121
12822229,0
133794,7
6910782,0
11028007,1
36950726,0
26806724,6
347311,0
21000925,43
354293,0
15103021,0
4631249,0
26189068,47
19963542,0
5671648,0
31167461,286
12313817,4
334,1691
30873378,21
3058100,266
31850185,28
34329365,0
35329240,0
10892257,0
2599868,1
619618,56
9385601,1
9497314,42
28759129,11
5184660,0
8352796,0
15273551,9
4637667,0
1853196,11
2790569,0
13393435,2
18516673,1353
4507968,43
8019007,45
5387338,0
11729206,6
16024522,2
27975141,0
14932621,8
24263650,0
34205321,1
33464212,5
161030,0
649231,0
33177633,44
5036599,16
10486668,81
308285,0
9059921,0
25023637,1
20860394,2
7923196,0
16180390,0
5987474,2
16423147,44
8131446,1469
357151,23
5754521,0
10833047,30
27169440,30
10184508,5
31977462,5
34572029,0
2338297,0
13971771,0
9832471,1
28825631,0
17620768,0
471759,0
11197479,0
25068469,1
1394916,65
15852612,0
31062460,78
28488432,67
2244706,0
13661887,20
3361698,13
14323446,71
32883254,0
35581001,0
35742440,0
35250477,0
12500062,0
34759912,0
6084574,15
466271,0
15382931,0
13989295,3
7349951,0
3469730,202
20809408,34
8856352,0
8893109,179
14974756,0
21191671,0
23986472,0
31044721,0
9969441,0
32635865,6
34596855,0
2557638,0
43102461,4
28906268,0
19916924,2
26675703,0
29096476,0
17618415,3
10542495,30
2252308,79
7057017,0
10851231,0
11144703,2
25235835,0
31597136,74
13390531,9
10899932,13
3516161,69
7825752,0
1385477,0
42901199,17
18222911,1
22053465,152
18455700,0
21750,1108
12054426,0
13781490,0
15660767,1
17511184,0
3520266,158
2463666,0
36493737,46
12337392,0
9224099,1
3825730,22
10750996,0
5945636,10
10565944,0
30412812,1
7117888,64
14647991,6
8821169,0
17740125,0
11355460,22
10938615,314
10985902,16
9570461,530
23960573,0
27951387,0
16379518,2
20078194,0
22063110,2
10000292,17
286499,19
9695783,0
35920049,0
11095179,0
34002609,0
4023357,0
17222060,1
14805213,0
19718742,3
28373650,12
28462349,1
30806701,34
31557688,25
9997601,29
24127835,17
14113371,0
17394267,3
26798256,0
17125700,0
18537978,0
15218972,2
26770576,0
33488805,4
4297009,122
17454367,0
23990093,0
15268847,0
25207952,0
9736179,0
15001651,0
10962792,25
8627385,1
1026925,1
12130652,0
24951135,1
24311245,50
6348837,0
12312897,0
13160905,0
43173255,23
21671101,0
8980411,1
1622005,0
21240095,4
27813784,0
26311336,2
14256271,1
25787444,0
10410920,0
232071,0
15100803,81
4751612,0
28541104,0
4374964,0
10730101,56
27523351,0
6007619,2
32058892,0
10568152,2
648481,0
6551543,26
38299198,0
31566854,0
8470179,0
6078052,0
3749809,57
31811,0
12935277,10
8510665,68
12408468,0
19442891,90
12476906,0
18022225,0
22187358,5
14264175,4
334019,29
15835573,0
33528124,4
25914726,0
39516018,5
28610628,0
9008297,6
3060036,13
242885,6
5335400,202
20017186,0
14815262,5
64302,4
24625344,0
4905532,1
23097202,0
10316783,3
9736998,30
25706421,43
9941106,0
2459620,68
30421372,0
24131925,8
32547340,0
34256165,0
21635177,3
15034926,9
18832183,1
26248772,0
156635,24
9365726,0
16334006,4
17360080,0
3272933,3
11637893,1
5682539,2
18931465,0
28078405,1
9115412,0
13462246,1
290629,41
13400769,50
15741311,0
6019213,48
11102119,0
22277547,1
16339666,0
22085895,0
26955661,19
205978,8
2476368,0
36565466,28
2261089,99
32922750,47
41764963,0
40993136,0
3947490,0
20138280,15
2778630,40
28996472,0
14579454,0
13807950,1
17638396,6
5535797,13
12119060,0
8132358,0
1930663,4
31446339,9
3734738,0
16811529,11
18834646,3
5378644,13
31557498,3
35510290,0
35663120,46
33665385,0
8933712,111
8519743,0
39620229,2
26541696,3
8781863,3
28183788,3
18580654,0
70455,30
19199004,16
22127123,3
9233264,0
4700601,148
6900594,0
37416473,0
35616954,0
34825191,0
10228810,0
1536877,0
10753268,0
384318,125
24824249,71
30641912,0
27326981,13
31085014,0
19547546,47
27554302,3
11516961,0
2338273,0
30998408,0
25015,2
148335,0
27112948,0
14219836,0
23960216,33
34538027,0
396651,1
12872215,3
34622210,0
9804028,7
41781536,34
40812484,0
40253841,1
27975610,0
12162919,0
19012902,0
22071694,34
10535250,1
16897049,0
96017,0
118,1076
7509508,6
4319278,32
13449487,0
34590634,0
9559250,0
9958068,2
141130,0
40327333,0
41382460,0
4885108,0
29813662,0
16504304,119
23899536,1
3528170,72
10942193,3
5859147,2
19518594,0
24287135,0
29411542,0
2168561,2
26890852,0
6197982,4
20082527,3
97475,41
28074031,8
28218422,114
10252373,3
858881,136
12108047,81
3182359,124
8314049,38
33919413,0
32648475,84
3970378,4
18387128,1
12464503,0
14025451,0
20082966,131
7461396,0
4813175,0
9390201,5
10034148,140
12384755,81
17342507,1
15146722,0
24914635,0
12494453,27
15887582,106
32021867,64
40372139,0
239745,60
10186929,0
10468710,0
4967917,3
10727825,0
10232450,0
9572642,0
9596970,0
7480674,34
7804246,0
1354,1399
3592512,0
16587553,4
5375742,6
8653465,1
11037924,13
10371616,0
15760296,270
10407819,0
7141520,1
589371,0
13092293,0
519245,22
39137883,0
43838261,0
29210985,0
16082389,0
9601393,0
25026937,175
2319666,0
6664644,15
24944850,0
14975027,34
7396900,0
24820244,0
866190,4
1924326,0
14465269,0
12548862,0
42310156,0
26375632,0
4524125,1
23357095,0
29346433,1
18234882,1
4981465,0
17425367,0
807807,0
15373487,94
3798304,0
28424527,0
17404494,0
28738970,11
11613123,2
20521369,0
5701595,1
1982054,14
31052659,0
11186706,0
7835236,0
2961702,23
3785524,0
3346985,23
31879922,0
10371379,50
12246643,0
10423745,19
97900,2
21533443,0
6528116,0
16926863,0
78603,0
31622726,0
31166820,0
1372677,0
1898237,36
11613508,0
20522487,0
18322,46
15006970,10
2232735,82
22201198,3
21344844,0
11080346,0
4266995,30
33633738,18
32186879,2
35689958,0
8542494,0
7364377,0
22094009,0
1160563,29
5708123,0
30740057,0
9507563,0
5059390,7
7081696,34
15151308,0
5726596,0
6249476,18
20822438,0
9055400,0
9173994,0
9590961,2
33692682,3
37133355,1
12178002,2
10752312,0
1360719,0
42722715,1
6066474,0
13456225,48
18040725,0
520100,7
13078048,0
12614173,0
30010475,0
12654568,28
10272209,1
8087770,73
2809439,0
9693482,0
13490121,23
157294,0
14572449,33
33531014,0
33066058,0
8216900,3
8332620,76
34550768,82
31846035,0
31396444,0
12631718,0
8629564,1
12520010,0
39370,4
9762869,0
16024617,0
8807915,0
7954444,0
20592515,0
10289314,13
11222142,0
26051927,1
7653313,11
17174802,0
10283996,35
35101689,0
59756,110
6844095,1
12153330,3
29072362,0
13715051,25
10938877,1
5746636,15
15489722,14
10846637,60
9378947,2
12990848,0
10166624,45
4257766,5
5683713,0
6558316,1
21917499,4
79423,0
23370767,47
13936467,57
11491038,0
8998834,0
5221904,56
32551955,1
42730352,0
10375069,0
8119529,0
30957324,9
10736125,84
4940821,36
20588607,9
8714807,0
9714976,0
31225850,0
15252364,0
14354287,0
71694,349
9005908,2
12149148,0
10370106,9
29227080,0
26046657,0
19048574,1
30481353,0
1952822,53
8779633,0
2489456,21
6311436,1
5451471,105
43269167,0
41112791,0
40398555,0
41020451,0
11429830,5
4342225,0
5467807,1
24141700,0
22152689,28
11221163,0
13641896,1
31665023,6
11757481,39
103434,59
21547033,0
9776709,70
26260319,0
1937691,0
26929410,0
7313423,13
2448898,0
35223756,0
34235096,0
9927254,0
5260145,0
32136151,64
10502929,2
33550772,0
33841906,2
6053288,26
5468484,0
21840871,0
10893176,0
11656846,2
21303506,12
27838444,0
10127755,0
15325438,65
22041744,66
37555,50
19249570,17
24909811,0
8397105,3
1676096,42
811614,0
27590927,0
27783315,19
33240057,0
37374300,4
7429994,0
34492984,35
5822746,0
7656874,1
39390169,21
20645385,0
1954970,2
30105157,1
26482838,15
27743454,60
5886149,0
3189029,0
7167189,0
28277507,0
271299,0
18849725,0
11055907,0
3576615,7
267581,9
14028528,55
27159946,5
12283120,2
30067555,1
1505261,0
18885402,278
19153135,1
6180536,48
13573949,0
12690383,0
23118,76
40610087,0
42383298,0
31459020,0
9426469,0
20926087,31
3241853,0
130027,140
5019045,2
11045433,0
9680734,19
3489025,15
5451719,0
28521790,0
10656528,4
6716426,98
17773651,0
1888424,40
5623899,13
30252890,13
22116556,0
1369515,51
11071693,59
15513990,0
37281741,0
36792385,1
32876351,39
3541322,52
43877233,0
43212315,0
26548736,2
7406855,1
2839235,0
7835599,0
9631304,0
9734987,0
6425082,29
11554896,54
2951273,0
9959690,22
4686783,1
275804,0
21818430,87
5574469,0
32701442,191
35641003,0
142623,2
27409584,0
18552620,294
11652642,22
30150826,0
30253573,25
31694,2
27447277,0
4696687,2
6151136,0
15726917,0
14715385,63
12312638,13
30853141,0
14999882,335
22982030,9
154690,1
26723650,0
7147020,0
30701172,0
4389184,4
19620230,75
19336289,0
13465512,0
8543804,147
2904660,11
32606051,65
34828125,41
584660,52
7391630,0
6157157,0
305264,135
31152510,0
28098490,2
11775656,2
7581678,7
8293410,0
2431623,0
36436328,22
31740125,0
15936655,0
36322092,0
33108290,351
27429571,0
39177972,17
37597251,1
22913667,0
19110749,0
3697,544
13893082,0
28544241,0
7032935,0
7299394,85
6896238,0
13651460,58
20608080,8
25036789,1
12291627,0
953355,65
20337304,4
29308055,67
11389871,16
6100541,23
33386395,0
10151202,5
4612488,93
30882557,80
35583,125
25023387,56
1360464,4
31029844,0
2938143,0
22091839,92
13870814,2
22254445,2
927951,9
3003285,31
25023505,0
3576775,0
506775,1
29905188,16
18792912,0
9372144,0
30881578,12
22155782,12
13934960,0
31913538,14
37072951,0
34091928,0
32226066,3
199600,51
9711273,0
11373055,0
1972749,0
2259584,0
7349674,1
28554185,9
2934746,0
11624115,152
13709827,75
6887781,0
25959443,0
20013820,0
16957972,0
2142759,0
27567772,0
28690649,114
2957797,0
26845345,53
11812798,23
15801418,49
22530850,1
5588903,38
21341738,1
17657489,0
74698,40
14680100,0
14902132,0
33952905,31
537241,0
3522182,3
29738896,0
24142379,0
70857,0
67392,0
30981604,0
12988016,4
27497374,0
31482578,0
5387992,171
403152,0
1952617,28
26896754,4
17071196,0
2505190,5
3612253,14
4413526,9
12618349,23
16017421,0
8402118,10
18877790,5
10815419,0
7820546,13
13001318,0
16880789,5
4197550,0
5198434,0
30986695,20
2959477,249
305465,13
7537166,7
170741,41
13424625,0
43859887,0
39516037,1
37939177,1
40904433,18
29192682,0
7668871,5
17454087,0
26771354,17
15613717,2
13106733,0
29692807,0
31229327,0
2607600,24
11541345,0
5844403,0
17274860,0
752339,13
2735890,147
18787462,30
13409931,17
32846414,0
33435475,4
33824552,0
36790552,0
6944377,0
14402947,6
13928465,0
14666674,105
7765763,0
12245359,0
19755671,0
7041410,0
9823457,50
29131642,2
24580980,0
22094996,74
30039065,0
19382447,0
14199317,0
33774342,0
33857444,0
8811253,0
9837861,0
13366811,26
29802144,0
2632933,1
1946967,0
7809630,6
2368136,4
13051446,0
30162286,0
3207748,0
27751,0
11081250,71
8774373,23
27096534,0
29783627,0
20937,0
9592212,0
42767513,10
30974693,0
9002820,0
17543485,0
18841903,0
2314407,10
18369270,2
11179833,74
16668499,5
9003481,1
30991542,8
8742403,29
27058173,0
106147,1
13494771,85
68953,4
14059078,46
30895519,2
17189026,2
29056266,5
12832312,0
15634001,79
32765730,0
37555028,0
43686682,0
11651454,53
17290760,0
8685498,0
10556743,0
31502246,1
10614810,4
9368946,7
26718189,0
3450485,0
11774866,9
21028019,66
71313,13
15299020,0
627107,0
20349983,24
30262927,0
15457452,2
13459089,47
7092968,21
34343651,58
35740086,0
39678732,18
44379401,0
26491699,3
489176,2
10151182,25
10804720,108
15892702,0
7555315,0
14622327,41
7830908,0
27357815,0
14854729,0
29203763,0
28332083,0
6487675,64
7419426,1
7657439,4
13435606,0
4091834,68
14013590,0
36528870,0
2253343,12
33631512,0
32497634,1
37865987,0
5679930,4
25863019,0
28481522,0
4433472,0
551782,0
28878073,0
19884807,3
18854121,0
20810661,11
6844656,22
1324414,800
29834685,0
22580876,0
37076455,0
34915022,1
237215,0
20079627,0
18572305,0
19275094,1
3513117,300
15187584,4
27527781,0
6421371,56
29924230,0
11573275,14
9218672,37
32745270,0
34276741,0
37392976,0
1450402,0
32187238,71
38805371,0
13106415,277
453590,827
22111577,0
1439633,0
6031507,0
22747213,2
19439676,11
14839702,25
17262602,7
5076662,48
33948568,0
1594772,0
6276882,6
41883347,0
13588960,8
27542946,0
31372401,0
25184210,0
2181172,2
24818348,0
8613693,0
5484549,4
51776,8
19891753,0
375518,0
22088077,1
4371090,26
9723596,5
10432019,1
14228695,0
12318617,0
13386304,19
8999719,1
29428504,0
17164653,62
31522796,32
26861698,10
6206522,5
21165137,5
8253683,34
24972767,2
17909500,0
4065675,0
6564914,6
13405245,249
8817815,0
28346031,2
10945333,52
29631429,121
14770695,4
18148320,0
28884266,4
18344345,139
37539249,0
8098725,4
41139633,52
29235648,0
15839517,2
20210467,5
30098107,0
4687600,414
28139662,0
8106033,0
9758408,24
9236203,13
10223558,143
9214216,224
23670980,0
26879308,0
18012460,0
5307866,26
31454526,0
26039582,32
796986,0
14300785,0
34341710,6
36464178,0
34846929,9
19710914,0
10191488,0
18579293,27
10632719,0
18582200,0
10317526,11
4558093,0
30451688,2
31321474,0
11061550,36
8729577,1
7754177,0
12765041,21
749218,0
17013821,0
10408255,0
13725800,16
33882192,0
34327896,17
7568722,0
37913819,31
38504727,0
7252143,218
19747635,0
21591598,0
5123026,2
14781690,0
23403163,4
17486562,74
20428228,13
2199179,0
361047,10
11205771,324
15858732,0
14362616,0
18024156,79
24252535,95
7816296,7
19665694,27
11286408,0
28028783,0
6913516,2
750351,148
1426344,45
39177649,188
17159510,11
712654,1
559292,6
964466,14
16642331,0
12916804,0
10864390,2
6497059,1
8158348,35
2783344,0
24125441,24
14006232,15
8727514,7
7948937,16
13523765,17
30797104,54
10203978,0
36773263,0
6225019,0
12753681,1
47739,2
43010104,7
7282251,43
73725,7
4510865,2
25131238,14
6130685,1
14650288,0
58995,0
21288438,5
22114552,10
12515196,0
96564,0
1826174,0
25249591,0
4100367,4
24955220,7
3765893,101
1566485,65
19426977,0
34438427,0
32309261,0
14115322,0
3386431,1
11822671,30
40276555,24
17934297,0
21583903,0
26130764,0
6939466,19
17644811,0
4755891,467
3915721,9
21446253,221
8365838,0
30379619,34
13999132,0
17384738,0
13122677,0
34520927,23
34631818,4
2448391,0
40450549,0
2476770,0
31668413,6
10515718,36
16257831,0
11798260,35
2461948,101
26061544,41
29967584,108
17014999,1
911433,0
10941615,0
11071188,1
1926502,0
19259620,1
33700857,4
15050792,0
5289557,0
27478957,781
2508539,0
3472805,2
23436692,67
9710890,0
9702233,4
26545358,0
30555135,0
6963885,12
17865733,144
24490328,44
8115971,17
1426809,57
3691462,38
1943612,0
88147,19
16552228,0
22233035,8
18312721,205
21896989,0
31948352,0
15506229,0
31731988,1
10199527,0
37912356,0
5702465,8
16703899,0
11141050,0
7058824,0
2711485,8
1951288,0
30097688,19
21402671,308
3407634,211
6664523,9
35382272,13
14715677,0
43694207,0
37963610,10
18556711,16
31366331,60
23044377,0
14244423,9
24473060,5
5571610,24
3756754,27
19330274,18
3451239,0
53227,168
4359240,0
2795046,5
34244329,18
7418009,21
6325634,4
42776659,0
27685965,2
30968487,13
8102902,0
22462001,0
7467255,101
248207,1
18875991,2
4471060,406
29125952,0
1945369,15
24919435,74
9758763,0
6599778,128
28029148,5
12811276,0
21764800,7
19261136,0
21421047,37
31725244,15
32578693,85
7320256,0
36655801,0
9831982,2
11707687,21
36668049,1
24468689,0
30473393,16
29397388,0
2452855,0
7755279,1
8012846,67
13925310,1
17078062,12
3644401,0
26925969,0
7723947,129
6567160,0
12418454,1
3226598,0
16426032,48
21675490,0
10528730,0
2215541,304
10567242,0
35668897,0
17720332,0
43331056,0
37970335,22
98258,7
9429540,0
17749435,332
9004362,0
6610297,0
7455844,0
12464771,0
6097091,60
30410252,118
24140173,29
3498797,6
32412186,52
768736,79
1366240,0
21519395,0
14360661,0
12248673,0
21423629,33
8637815,0
30332223,0
14263516,0
14732610,0
8120953,8
11600899,0
1524060,1
31409686,25
1749659,82
25157863,108
33046667,0
32269014,2
12595181,0
9713916,0
44347774,8
37810653,33
22358511,0
9816691,45
8892060,3
1978089,1
4074279,0
31138070,0
20682098,18
13728108,0
10587201,126
18336451,51
18404198,7
15886187,0
26208951,2
29496751,0
6226786,258
24329427,0
29921226,0
28574751,0
24088595,9
29152631,35
31876751,193
32468514,0
90787,41
12152795,0
822814,0
17687420,7
12964813,2
13456699,0
6579917,0
15460255,0
11651028,0
2937939,0
662158,0
26294633,0
17237975,19
32277927,12
32768092,0
31010153,0
34358025,0
15752803,38
1419926,0
37315198,0
43459834,0
41544212,0
37662520,0
42467953,0
29547158,0
5718757,4
2200387,0
2245549,0
660406,5
30115068,0
27870805,56
20801267,0
30284331,0
15996875,0
10214202,23
4180709,2
11422306,0
12868412,415
33931925,2
3277438,169
102273,25
37595264,0
2909101,5
29740499,0
14353166,0
9641994,45
12349485,0
20458027,21
17592409,9
51327,43
2171010,0
11153941,0
24255649,15
7206849,0
16172954,0
33976912,1
33294388,0
2562980,33
31736914,0
29152,0
42826619,0
22076943,12
26428573,0
2389412,0
2487058,0
12347274,29
16039423,9
17326952,0
6053885,0
31472040,9
23157839,0
18869969,0
24965336,95
8649141,0
14394133,6
14776864,22
3927103,0
20506718,1
30399535,0
16159573,0
8998300,56
10357062,0
33898599,44
21221616,0
32778004,1
3830017,0
1691092,0
3381769,20
17614540,0
944354,35
3974201,0
12816628,6
13485187,0
5394681,2
5552615,19
1396892,2
7022311,99
6442,0
21832413,4
24213116,48
35331638,78
2716553,2
7321476,0
41022859,0
25655734,0
26963973,0
16193728,6
12449653,0
1807791,0
8115122,0
3328698,10
98612,0
9847676,1
4202734,25
7692254,0
23932558,62
4247864,114
37460720,0
2829434,0
16021535,0
22382381,0
1372801,90
37165314,1
11345126,0
16542478,11
18712617,0
31063646,0
24425723,0
10296996,0
11343286,2
30714120,0
8267506,350
17281777,0
9236323,0
2369561,0
14950022,46
26261556,74
37137593,1
87488,0
14981302,15
2423102,7
3809766,0
581,3598
10800926,0
9601684,1
15106226,5
11840970,5
28488843,31
705829,28
17280503,20
13873347,17
12857640,10
15115446,45
30471707,0
7338619,15
26021441,0
12916284,0
13390193,17
13589193,84
22052433,530
4860950,757
22248768,8
29735084,0
37447039,53
124797,0
14353673,27
34914656,28
13395608,3
19846191,0
5479729,0
15961737,0
30495706,64
6257637,338
12442153,4
24720487,0
9232119,0
16045856,0
29705006,1
3937819,0
3818205,3
21097362,0
3858710,22
17688383,239
4564098,0
31188594,58
640661,0
22361812,1
1621950,0
1007224,47
12294576,0
43300280,7
6968018,2
25952507,0
29201517,56
17657147,4
8415920,2
5587185,11
17000061,56
14323197,31
4493720,2
8757133,68
30181021,16
12513041,0
30569021,0
29127780,14
8497843,61
11423192,0
32967046,0
18756242,0
25703,1
5548817,10
36291703,0
18070,2
17866211,17
552857,0
10460307,0
29634452,0
23544622,3
26014963,0
20313114,0
27423847,0
15921542,0
25865460,0
1025806,0
20375154,19
27669160,0
16471458,5
486892,6
12996089,0
7157116,541
14991158,46
7647942,0
34496287,0
34137049,0
9437923,1
1925643,27
5539297,0
22745451,0
31028048,0
13822268,0
19007397,0
31464900,53
16738862,0
16165313,0
5693334,56
21310297,108
29157052,200
12283366,0
21981,5
10832960,37
12539407,0
24926847,4
11468911,265
30904947,6
777556,94
10733432,0
48599,0
17396624,19
26703693,0
29655904,0
24248560,0
988300,160
17744368,5
12299507,0
4094651,8
328167,18
21303050,0
29002802,0
12123046,0
31362798,5
10532753,156
6615283,0
2783720,1
31904396,0
11733783,0
32558773,18
29007121,0
4733604,26
3786090,9
12152073,5
876650,15
10276810,23
20091336,0
30943409,0
25811811,0
2798172,33
11663370,20
4933317,0
2772891,0
26972869,0
15833356,65
31507091,17
12701398,86
3546258,11
32277043,0
33441599,0
9156500,5
13571777,10
13640105,9
7214378,38
10826210,2
6445189,0
24018872,0
12961285,0
29561331,0
9756221,0
4775557,41
13433038,0
133127,9
28254438,0
18471470,0
892339,57
29818581,0
29874438,7
8388842,0
35378719,28
11665906,79
20159194,0
39248445,27
27025610,25
8426318,14
14071366,1
603456,1
70575,80
18951700,55
24950450,0
8383125,34
30483376,2
19260484,15
4738045,7
215102,127
20733371,0
33194283,3
37102969,4
33492143,0
10749161,6
5701250,0
2678912,0
33590143,504
24495734,0
8652665,0
2342058,18
29308503,24
8356334,6
10128115,0
20188183,17
9549336,8
24735888,0
7959031,15
698857,19
18366806,382
32125189,0
31824708,2
29263580,23
11802600,12
9846197,0
1349508,1
23723251,0
9776835,151
27697391,0
5386729,0
14258634,0
17218685,4
3978219,14
12176363,51
26732320,0
12725901,0
29213196,2
32010625,30
35578648,110
34144606,0
4237486,82
39575584,3
22346739,0
665528,15
6928745,8
20734043,0
14032589,0
19469915,0
3817479,0
12377446,0
15158754,3
11296209,0
1509288,0
18737158,0
12446003,4
7662562,0
4535077,1
21921633,473
12141511,0
30921829,0
146928,81
7753647,0
34373913,26
2412863,0
44149664,0
2965780,2
8090348,0
4931689,59
31402548,4
1547163,0
124714,0
2763847,12
11354855,1
57086,0
6467042,15
11668996,0
828807,1
7752442,0
2643081,5
24583560,77
15959799,0
15700170,0
6249409,3
32451170,8
32955906,3
3760989,0
